Allée du Président Salvador Allende  93450 L'Ile-Saint-Denis.
Rue Salvador Allende  91150 Etampes.
Rue Salvador Allende  91430 Igny.
Rue Salvador Allende  92000 Nanterre.
Rue Salvador Allende  95610 Eragny.
Rue Salvador Allende  95870 Bezons.
Rue Salvador Allende  Le Havre.
Rue Saly Allende  64000 Pau.
Salvador Allende  34110 Frontignan.
Square Allende  59380 Armbouts-Cappel.
Square Allende  59610 Fourmies.
Square du Président Allende  67000 Strasbourg.
Square du Président Salvador Allende  59150 Wattrelos.
Square Salvador Allende  49800 Trélazé.
Square Salvador Allende  77280 Othis.
Square Salvador Allende  77610 Fontenay-Trésigny.
Square Salvador Allende  94240 L'Haÿ-les-Roses.
Square Salvador Allende  95470 Fosses.
